id;brand;model;price_per_hour
1;quietly overreact;psst excluding key;7415.26
2;boo;astride spiffy ugh;25208.38
3;antelope disarm;circumference however mobility;1431.86
4;correctly;ick forenenst;6000.9
5;give;courteous;7164.71
6;formamide;ack than;16518.95
7;regarding parsnip;continually celebrated indeed;15377.8
8;inwardly self-confidence awkwardly;well until woot;7633.77
9;and;puff though under;25304.3
10;indeed fun phooey;reclassify;27442.72
11;embalm libel until;loose;30347.87
12;to;boo;3115.09
13;politely dimly roundabout;famously useless misread;23691.6
14;implode swat oof;imagineer;18840.1
15;for likewise;excepting;20907.66
16;softly crushing curly;in-joke;13924.11
17;shinny absent;sans mature;3608.89
18;flame stranger;outrank inscribe;28221.62
19;closely;formation;23386.01
20;cauliflower;madly whose bitterly;21034.01
21;into croon bare;despite even;1993.87
22;equatorial;narrow;26153.15
23;cleave with;sushi acquaintance swill;5275.33
24;inasmuch glow huzzah;witty;20193.97
25;sleepily table;ferociously;31372.87
26;self-reliant now;trust fluffy;18118.72
27;blah;mmm slowly;30240.9
28;hourly dress complication;now of below;18732.66
29;spiteful below reflate;to;10071.31
30;catalog skeletal;geez pish;10928.13
