id;office_name;city;status
1;bah um;Faheystad;OPEN
2;down whoever;Connstead;MAINTENANCE
3;strict search phooey;Lake Naomiton;CLOSED
4;provided militate;Braunland;MAINTENANCE
5;beyond;Yvonnefurt;CLOSED
6;crossly;Metztown;OPEN
7;sternly bar;South Billyburgh;OPEN
8;monthly spectate;Carrollland;MAINTENANCE
9;ugh packaging a;Bentonville;OPEN
10;free alongside;East Toni;MAINTENANCE
11;towards bliss;Coral Springs;CLOSED
12;founder whenever;West Forrest;CLOSED
13;ceramic;New Adolph;OPEN
14;inside instead forenenst;Emmerichchester;CLOSED
15;upward optimistic mortally;Darinburgh;OPEN
16;that whose boohoo;Cristshire;MAINTENANCE
17;gladly stunt punctually;North Frank;CLOSED
18;confide yet past;Port Paige;OPEN
19;smart indeed;Lake Elliott;OPEN
20;whereas untried;Alvinville;CLOSED
21;sonnet serpentine probate;Port Celia;OPEN
22;mmm excitable ack;Port Cassandra;MAINTENANCE
23;task slink;Quitzonton;MAINTENANCE
24;trivial likewise lucky;East Erickcester;OPEN
25;when now beneath;Herminafield;CLOSED
26;um devoted mmm;Beierworth;MAINTENANCE
27;er surprisingly;Weissnatboro;CLOSED
28;tuxedo boldly permafrost;Fort Lavernside;CLOSED
29;decode which;New Ansleycester;CLOSED
30;mesh;Bethelbury;CLOSED
